name,lat,lon,movie
Amberley,39.2047809,-84.427997,A View to a Kill
Ascot Racecourse,51.4146146,-0.6632578,A View to a Kill
Berkshire,51.4534889,-1.031873,A View to a Kill
California,36.7014631,-118.755997,A View to a Kill
Eiffel Tower,48.8582599,2.2945006,A View to a Kill
England,52.5310214,-1.2649062,A View to a Kill
France,46.603354,1.8883335,A View to a Kill
Golden Gate Bridge,37.8202408,-122.47857,A View to a Kill
Iceland,64.9841821,-18.1059013,A View to a Kill
London,51.4893335,-0.1440551,A View to a Kill
Paris,48.8534951,2.3483915,A View to a Kill
Russia,64.6863136,97.7453061,A View to a Kill
San Francisco,37.7792588,-122.4193286,A View to a Kill
San Francisco City Hall,37.7792929,-122.4192601,A View to a Kill
Siberia,45.1685441,8.0902162,A View to a Kill
Switzerland,46.7985624,8.2319736,A View to a Kill
United States,39.7837304,-100.445882,A View to a Kill
West Sussex,51.0,-0.416667,A View to a Kill
Bahamas,24.7736546,-78.0000547,Casino Royale
Czech Republic,49.7439047,15.3381061,Casino Royale
England,52.5310214,-1.2649062,Casino Royale
Florida,27.7567667,-81.4639835,Casino Royale
Italy,42.6384261,12.674297,Casino Royale
Lake Como,45.9917589,9.264881,Casino Royale
London,51.4893335,-0.1440551,Casino Royale
Madagascar,-18.9249604,46.4416422,Casino Royale
Mbale,0.9765706,34.2021869,Casino Royale
Miami,25.7741566,-80.1935973,Casino Royale
Montenegro,42.7755624,19.2022423,Casino Royale
Nassau,25.0782266,-77.3383438,Casino Royale
Prague,50.0596288,14.4464593,Casino Royale
Uganda,1.5333554,32.2166578,Casino Royale
Venice,45.4371908,12.3345898,Casino Royale
Amstel Canal,52.2877521,4.8866187,Diamonds Are Forever
Amsterdam,52.3730796,4.8924534,Diamonds Are Forever
Apartment Building,11.0073747,124.602545,Diamonds Are Forever
Baja California,30.0338923,-115.1425107,Diamonds Are Forever
Bay,30.2481693,-85.6593633,Diamonds Are Forever
Cairo,30.0443879,31.2357257,Diamonds Are Forever
California,36.7014631,-118.755997,Diamonds Are Forever
Canal District,1.4041057,103.9197495,Diamonds Are Forever
Canberra,-35.2975906,149.1012676,Diamonds Are Forever
Dover,51.1251275,1.3134228,Diamonds Are Forever
Dover Ferry Terminal,51.1274384,1.3296633,Diamonds Are Forever
East Lake Mead,52.9603642,-1.3112711,Diamonds Are Forever
Egypt,26.2540493,29.2675469,Diamonds Are Forever
England,52.5310214,-1.2649062,Diamonds Are Forever
France,46.603354,1.8883335,Diamonds Are Forever
Frankfurt,50.1106444,8.6820917,Diamonds Are Forever
Frankfurt Airport,50.0244126,8.5552003,Diamonds Are Forever
Germany,51.1638175,10.4478313,Diamonds Are Forever
Gypsum Road,-33.980973,18.5101219,Diamonds Are Forever
Henderson,32.182598,-95.7893178,Diamonds Are Forever
International Hotel,51.0498863,-114.0665377,Diamonds Are Forever
Japan,36.5748441,139.2394179,Diamonds Are Forever
Las Vegas,36.1674263,-115.1484131,Diamonds Are Forever
Las Vegas Airport,36.0861034,-115.1611002,Diamonds Are Forever
Las Vegas Hotel,33.5658513,-7.6280827,Diamonds Are Forever
London,51.4893335,-0.1440551,Diamonds Are Forever
Los Angeles,34.0536909,-118.242766,Diamonds Are Forever
Luxury Residence,18.7662366,99.0014072,Diamonds Are Forever
McCarran International Airport,36.0861034,-115.1611002,Diamonds Are Forever
Mexico,23.6585116,-102.0077097,Diamonds Are Forever
Netherlands,52.2434979,5.6343227,Diamonds Are Forever
Nevada,39.5158825,-116.853722,Diamonds Are Forever
North Atlantic Ocean,40.0,-40.0,Diamonds Are Forever
Palm Springs,33.8246269,-116.540303,Diamonds Are Forever
South Africa,-28.8166236,24.991639,Diamonds Are Forever
South Boulder Highway,36.0392632,-114.9818783,Diamonds Are Forever
Tokyo,35.6768601,139.7638947,Diamonds Are Forever
UK,54.7023545,-3.2765753,Diamonds Are Forever
USA,39.7837304,-100.445882,Diamonds Are Forever
United States,39.7837304,-100.445882,Diamonds Are Forever
Aldershot,51.2494169,-0.7630148,Die Another Day
Beach,46.9180689,-104.0043728,Die Another Day
Buckingham Palace,51.5008349,-0.1430045,Die Another Day
Cadiz,10.956652,123.3057034,Die Another Day
Cardigan,52.0839973,-4.6604224,Die Another Day
Clínica Álvarez,-34.6087193,-58.4832901,Die Another Day
Cornwall,50.4433489,-4.6246566,Die Another Day
Cuba,23.0131338,-80.8328748,Die Another Day
Cádiz,36.5297438,-6.2928976,Die Another Day
England,52.5310214,-1.2649062,Die Another Day
France,46.603354,1.8883335,Die Another Day
Frozen Lake,40.2579884,-105.6428214,Die Another Day
H.Q.,40.726085,-73.9519709,Die Another Day
Hampshire,51.0449814,-1.2433133,Die Another Day
Havana,23.135305,-82.3589631,Die Another Day
Hawaii,19.5938015,-155.4283701,Die Another Day
Hofn,64.2532647,-15.2080441,Die Another Day
Holywell Bay,50.3945005,-5.1505116,Die Another Day
Holywell Bay Beach,50.3868292,-5.1409211,Die Another Day
Hong Kong,22.350627,114.1849161,Die Another Day
Iceland,64.9841821,-18.1059013,Die Another Day
Kent,51.2070749,0.7210362,Die Another Day
London,51.4893335,-0.1440551,Die Another Day
Manston Airport,51.3465284,1.3474708,Die Another Day
Maui,20.8029568,-156.3106833,Die Another Day
Newquay,50.4134414,-5.0848836,Die Another Day
North Korea,40.3736611,127.0870417,Die Another Day
Norway,61.1529386,8.7876653,Die Another Day
Pukchong County,40.1610093,128.5001564,Die Another Day
South Korea,36.638392,127.6961188,Die Another Day
Spain,39.3260685,-4.8379791,Die Another Day
Svalbard,78.7198519,20.3493328,Die Another Day
U.S.,39.7837304,-100.445882,Die Another Day
UK,54.7023545,-3.2765753,Die Another Day
United Kingdom,54.7023545,-3.2765753,Die Another Day
Wales,52.2928116,-3.73893,Die Another Day
Westminster Bridge,51.5008685,-0.1225584,Die Another Day
Courtleigh Manor,39.357884,-76.7741183,Dr. No
Crab Key Beach,18.4307622,-77.1638879,Dr. No
Dunn,44.9333564,-91.8994409,Dr. No
England,52.5310214,-1.2649062,Dr. No
Hampton House,41.7993771,-87.5829893,Dr. No
Jamaica,18.1850507,-77.3947693,Dr. No
Kingston,17.9712148,-76.7928128,Dr. No
Kingston Airport,44.2264043,-76.6006264,Dr. No
Liguanea Club,18.0096871,-76.7828454,Dr. No
London,51.4893335,-0.1440551,Dr. No
Mayfair,51.5110872,-0.147058,Dr. No
Pearly Beach,-34.667345,19.503841,Dr. No
Quarry Road,51.4549095,-0.1814686,Dr. No
River Falls,44.8596498,-92.6255048,Dr. No
UK,54.7023545,-3.2765753,Dr. No
Albania,41.000028,19.9999619,For Your Eyes Only
Bahamas,24.7736546,-78.0000547,For Your Eyes Only
Brazil,-10.3333333,-53.2,For Your Eyes Only
Corfu,39.591337,19.8596189,For Your Eyes Only
England,52.5310214,-1.2649062,For Your Eyes Only
Greece,38.9953683,21.9877132,For Your Eyes Only
Italy,42.6384261,12.674297,For Your Eyes Only
London,51.4893335,-0.1440551,For Your Eyes Only
Madrid,40.416782,-3.703507,For Your Eyes Only
Moscow,55.625578,37.6063916,For Your Eyes Only
Spain,39.3260685,-4.8379791,For Your Eyes Only
Argyll,53.5024174,-113.461132,From Russia with Love
Belgrade,44.8178131,20.4568974,From Russia with Love
Croatia,45.3658443,15.6575209,From Russia with Love
England,52.5310214,-1.2649062,From Russia with Love
Istanbul,41.006381,28.9758715,From Russia with Love
Italy,42.6384261,12.674297,From Russia with Love
London,51.4893335,-0.1440551,From Russia with Love
Scotland,56.7861112,-4.1140518,From Russia with Love
Serbia,44.0243229,21.0765743,From Russia with Love
Switzerland,46.7985624,8.2319736,From Russia with Love
Turkey,39.294076,35.2316631,From Russia with Love
Venice,45.4371908,12.3345898,From Russia with Love
Yugoslavia,23.0412366,-81.5261419,From Russia with Love
Zagreb,45.8130967,15.9772795,From Russia with Love
Arkhangelsk Oblast,63.5589686,43.1221646,GoldenEye
